Question,Option_A,Option_B,Option_C,Option_D
If z_1|z_2 and z_3|z_4 are two pairs of conjugate complex numbers| then argleft( z_1/z_4 right)+argleft( z_2/z_3 right) equals,0,pi /2,3pi /2,pi
Let z|wbe complex numbers such that overlinez+ioverlinew = 0and arg||zw = pi . Then arg z equals AIEEE 2004,5pi /4,pi /2,3pi /4,pi /4
If (1+x)^n = C_0+C_1x+C_2/x^2+.....+C_n/x^n| then the value of C_0-C_2+C_4-C_6+.....is,2^n,2^ncos npi /2,2^nsin npi /2,2^n/2cos npi /4
If x = cos theta +isin theta  and y = cos varphi +isin varphi |  then x^m/y^n+x^-m/y^-n is equal to,cos (mtheta +nvarphi ),cos (mtheta +nvarphi ),2cos (mtheta +nvarphi ),2cos (mtheta -nvarphi )
The value of sumlimits_r = 1^8/left( sin 2rpi /9+icos 2rpi /9 right)is,-1,1,i,-i
If a|b|c andu|v|w are complex numbers representing the vertices of two triangles such that c = (1-r)a+rb and w = (1-r)u+rv| where r is a complex number| then the two triangles,Have the same area,Are similar,Are congruent,None of these
Suppose  z_1||z_2||z_3 are the vertices of an equilateral triangle inscribed in the circle |z|| = 2. If  z_1 = 1+isqrt3| then values of  z_3 and z_2 are respectively IIT 1994,-2||1-isqrt3,2||1+isqrt3,1+isqrt3|-2,None of these
If the complex number z_1|z_2 the origin form an equilateral triangle then  z_1^2+z_2^2 =  IIT 1983,z_1|z_2,z_1|overlinez_2,overlinez_2|z_1,|z_1/|^2 = |z_2/|^2
If at least one value of the complex number z = x+iy satisfy the condition |z+sqrt2| = a^2-3a+2 and the inequality |z+isqrt2|<a^2|  then,a>2,a = 2,a<2,None of these
If z| iz and z+iz are the vertices of a triangle whose area is 2 units| then the value of |z| is RPET 2000,-2,2,4,8
If z^2+z|z|+|z|^2 = 0| then the locus of z is,A circle,A straight line,A pair of straight lines,None of these
If cos alpha +cos beta +cos gamma  = sin alpha +sin beta +sin gamma  = 0 then cos 3alpha +cos 3beta +cos 3gamma  equals to  Karnataka CET 2000,0,cos (alpha +beta +gamma ),3cos (alpha +beta +gamma ),3sin (alpha +beta +gamma )
If z_r = cos ralpha /n^2+isin ralpha /n^2| where r  =  1| 2| 3|?.|n| then undersetnto infty /mathoplim |||z_1/z_2/z_3...z_n is equal to UPSEAT 2001,cos alpha +i|sin alpha,cos (alpha /2)-isin (alpha /2),e^ialpha /2,sqrt3e^ialpha
If the cube roots of unity be 1|omega |omega ^2| then the roots of the equation (x-1)^3+8 = 0are IIT 1979; MNR 1986; DCE 2000; AIEEE 2005,-1||1+2omega ||1+2omega ^2,-1||1-2omega ||1-2omega ^2,-1||-1||-1,None of these
If 1|omega |omega ^2|omega ^3.......|omega ^n-1 are the n|n^th roots of unity| then (1-omega )(1-omega ^2).....(1-omega ^n-1) equals MNR 1992; IIT 1984; DCE 2001; MP PET 2004,0,1,n,n^2
The value of the expression 1.(2-omega )(2-omega ^2)+2.(3-omega )(3-omega ^2)+...........+(n-1).(n-omega )(n-omega ^2)|where omega  is an imaginary cube root of unity| is IIT 1996,1/2(n-1)n(n^2+3n+4),1/4(n-1)n(n^2+3n+4),1/2(n+1)n(n^2+3n+4),1/4(n+1)n(n^2+3n+4)
If i = sqrt-1| then 4+5left( -1/2+isqrt3/2 right)^334   +3left( -1/2+isqrt3/2 right)^365is equal to IIT 1999,1-isqrt3,-1+isqrt3,isqrt3,-isqrt3
If a = cos (2pi /7)+i|sin (2pi /7)| then the quadratic equation whose roots are alpha  = a+a^2+a^4 and beta  = a^3+a^5+a^6 is RPET 2000,x^2-x+2 = 0,x^2+x-2 = 0,x^2-x-2 = 0,x^2+x+2 = 0
Let z_1 and z_2 be nth roots of unity which are ends of a line segment that subtend a right angle at the origin.  Then n must be of the form  IIT Screening 2001; Karnataka 2002,4k + 1,4k + 2,4k + 3,4k
Let omega  is an imaginary cube roots of unity then the value of2(omega +1)(omega ^2+1)+3(2omega +1)(2omega ^2+1)+.....+(n+1)(nomega +1)(nomega ^2+1)  is Orissa JEE 2002,left n(n+1)/2 right^2+n,left n(n+1)/2 right^2,left n(n+1)/2 right^2-n,None of these
omega  is an imaginary cube root of unity. If (1+omega ^2)^m =  (1+omega ^4)^m| then least positive integral value of m is  IIT Screening 2004,6,5,4,3
The value of 2^n|1.3.5.....(2n-3)|(2n-1) is,(2n)|!/n|!,(2n)|!/2^n,2^n-i,None of these
A question paper is divided into two parts A and B and each part contains 5 questions. The number of ways in which a candidate can answer 6 questions selecting at least two questions from each part is Roorkee 1980,80,100,200,None of these
How many numbers lying between 10 and 1000 can be formed from the digits 1| 2| 3| 4| 5| 6| 7| 8| 9 (repetition is allowed),1024,810,2346,None of these
The number of ways in which the letters of the word TRIANGLE can be arranged such that two vowels do not occur together is,1200,2400,14400,None of these
There are four balls of different colours and four boxes of colours same as those of the balls. The number of ways in which the balls| one in each box| could be placed such that a ball does not go to box of its own colour is IIT 1992,8,7,9,None of these
If  ^56/P_r+6/:^54/P_r+3 = 30800:1| then r =  Roorkee 1983; Kurukshetra CEE 1998,31,41,51,None of these
Ten different letters of an alphabet are given. Words with five letters are formed from these given letters. Then the number of words which have at least one letter repeated is                 IIT 1980; MNR 1998| 99; DCE 2001,69760,30240,99748,None of these
The number of ways of dividing 52 cards amongst four players so that three players have 17 cards each and the fourth player just one card| is IIT 1979,52 !/(17 !)^3,52 !,52 !/17 !,None of these
The number of ways in which the letters of the word ARRANGE can be arranged such that both R do not come together is MP PET 1993,360,900,1260,1620
A box contains two white balls| three black balls and four red balls. In how many ways can three balls be drawn from the box if at least one black ball is to be included in the  draw IIT 1986; DCE 1994,64,45,46,None of these
m men and n women are to be seated in a row so that no two women sit together. If m>n| then the number of ways in which they can be seated is IIT 1983,m ! (m+1) !/(m-n+1) !,m ! (m-1) !/(m-n+1) !,(m-1) ! (m+1) !/(m-n+1) !,None of these
A five digit number divisible by 3 has to formed using the numerals 0| 1| 2| 3| 4 and 5 without repetition. The total  number of ways in which this can be done is IIT 1989; AIEEE 2002,216,240,600,3125
In a certain test there are n questions. In the test 2^n-i students gave wrong answers to at least i questions| where i = 1| 2| ......n. If the total number of wrong answers given is 2047| then n is equal to,10,11,12,13
The number of times the digit 3 will be written when listing the integers from 1 to 1000 is,269,300,271,302
Ten persons| amongst whom are A| B and C to speak at a function. The number of ways in which it can be done if A wants to speak before B and B wants to speak before C is,10 !/6,3 ! 7 !,^10/P_3 . 7 !,None of these
The number of ways in which an examiner can assign 30 marks to 8 questions| awarding not less than 2 marks to any question is,^21/C_7,^30/C_16,^21/C_16,None of these
How many words can be made out from the letters of the word INDEPENDENCE| in which vowels always come together Roorkee 1989,16800,16630,1663200,None of these
Five balls of different colours are to be placed in three boxes of different sizes. Each box can hold all five balls. In how many ways can we place the balls so that no box remains empty IIT 1981,50,100,150,200
In how many ways can a committee be formed of 5 members from 6 men and 4 women if the committee has at least one woman RPET 1987; IIT 1968; Pb. CET 2003,186,246,252,None of these
How many words can be made from the letters of the word BHARAT in which B and H never come together IIT 1977,360,300,240,120
There are 10 persons named A| B|.......J. We have the capacity to accommodate only 5. In how many ways can we arrange them in a line if A is must and G and H must not be included in the team of 5,^8/P_5,^7/P_5,^7/C_3(4 !),^7/C_3(5 !)
The number of times the digit 5 will be written when listing the integers from 1 to 1000 is,271,272,300,None of these
The exponent of 3 in 100 ! is,33,44,48,52
The total number of different combinations of one or more letters which can be made from the letters of the word 'MISSISSIPPI' is,150,148,149,None of these
A person goes in for an examination in which there are four papers with a maximum of m marks from each paper. The number of ways in which one can get 2m marks is,^2m+3/C_3,1/3(m+1)(2m^2+4m+1),1/3(m+1)(2m^2+4m+3),None of these
There were two women participating in a chess tournament. Every participant played two games with the other participants. The number of games that the men played between themselves proved to exceed by 66 the number of games that the men played with the women. The number of participants is,6,11,13,None of these
A father with 8 children takes them 3 at a time  to the Zoological gardens| as often as he can without taking the same 3 children together more than once. The number of times each child will go to the garden is,56,21,112,None of these
A library has a copies of one book| b copies of each of two books| c copies of each of three books and single copies of d books. The total number of ways in which these books can be distributed is,(a+b+c+d) !/a ! b ! c !,(a+2b+3c+d) !/a ! (b !)^2/(c !)^3,(a+2b+3c+d) !/a ! b ! c !,None of these
A car will hold 2 in the front seat and 1 in the rear seat. If among 6 persons 2 can drive| then the number of ways in which the car can be filled is,10,20,30,None of these
There are (n+1) white and (n+1) black balls each set numbered 1 to n+1. The number of ways in which the balls can be arranged in a row so that the adjacent balls are of different colours is EAMCET 1991,(2n+2) !,(2n+2) ! times 2,(n+1) ! times 2,2(n+1) !^2
12 persons are to be arranged to a round table. If two particular persons among them are not to be side by side| the total number of arrangements is EAMCET 1994,9(10 !),2(10 !),45(8 !),10 !
How many numbers between 5000 and 10|000 can be formed using the digits 1| 2| 3| 4| 5| 6| 7| 8| 9 each digit appearing not more than once in each number Karnataka CET 1993,5times ^8/P_3,5times ^8/C_3,5 ! times ^8/P_3,5 ! times ^8/C_3
If x| y and r are positive integers| then ^x/C_r/ + ^x/C_r-1^y/C_1/ + ^x/C_r-2^y/C_2+....... + ^y/C_r =  Karnataka CET 1993; RPET 2001,x ! y !/r !,(x+y) !/r !,^x+y/C_r,^xy/C_r
The number of ways in which an arrangement of 4 letters of the word 'PROPORTION' can be made is,700,750,758,800
The number of different words that can be formed out of the letters of the word 'MORADABAD' taken four at a time is,500,600,620,626
There are three girls in a class of 10 students. The number of different ways in which they can be seated in a row such that no two of the three girls are together is,7 ! times ^6/P_3,7 ! times ^8/P_3,7 ! times 3 !,10 !/3 ! 7 !
For 2le rle n|left( beginmatrix    n      r   endmatrix right)+2|left( beginalign   & ||n   & r-1  endalign right)+left( beginmatrix    n      r-2   endmatrix right) is equal to    IIT Screening 2000; Pb. CET 2000,left( beginmatrix n+1 r-1 endmatrix right),2|left( beginmatrix n+1 r+1 endmatrix right),2|left( beginmatrix n+2 r endmatrix right),left( beginmatrix n+2 r endmatrix right)
The number of positive integral solutions of a|b|c = 30is UPSEAT 2001,30,27,8,None of these
How many different nine-digit numbers can be formed from the digits of the number 223355888 by rearrangement of the digits so that the odd digits occupy even places  IIT Screening 2000; Karnataka CET 2002,16,36,60,180
A dictionary is printed consisting of 7 lettered words only that can be made with a letter of the word CRICKET. If the words are printed at the alphabetical order| as in an ordinary dictionary| then the number of word before the word CRICKET is Orissa JEE 2003,530,480,531,481
The mean of n items is barx. If the first term is increased by 1| second by 2 and so on| then new mean is            DCE 1998,barx+n,barx+n/2,barx+n+1/2,None of these
The mean of the values 0| 1| 2|......|n having corresponding weight ^n/C_0||^n/C_1||^n/C_2|........|||^n/C_n respectively is          AMU 1990; CET 1998,2^n/n+1,2^n+1/n(n+1),n+1/2,n/2
Mean of 100 observations is 45. It was later found that two observations 19 and 31 were incorrectly recorded as 91 and 13. The correct mean is,44,44.46,45,45.54
The average of n numbers x_1||x_2||x_3||......||x_n is M. If x_n is replaced by x'| then new average is                 DCE 2000,M-x_n+x',nM-x_n+x'/n,(n-1)M+x'/n,M-x_n+x'/n
The following data gives the distribution of height of students,154,155,160,161
A pie chart is to be drawn for representing the following data,90?,2.8?,150?,144?
The mean and S.D. of the marks of 200 candidates were found to be 40 and 15 respectively. Later| it was discovered that a score of 40 was wrongly read as 50. The correct mean and S.D. respectively are,14.98| 39.95,39.95| 14.98,39.95| 224.5,None of these
Let r be the range and S^2 = 1/n-1sumlimits_i = 1^n/(x_i-barx)^2 be the S.D. of a set of observations x_1||x_2||.....x_n| then,Sle rsqrtn/n-1,S = rsqrtn/n-1,Sge rsqrtn/n-1,None of these
In a series of 2n observations| half of them equal to a and remaining half equal to ?a. If the standard deviation of the observations is 2| then |a| equals                     AIEEE 2004,sqrt2/n,sqrt2,2,1/n
The S.D. of a variate x is s. The S.D. of the variate ax+b/c where a| b| c are constant| is                                Pb. CET 1996,left( a/c right)|sigma,left| a/c right||sigma,left( a^2/c^2 right)|sigma,None of these
The circular wire of diameter 10cm is cut and placed along the circumference of a circle of diameter 1 metre. The angle subtended by the wire at the centre of the circle is equal to MNR 1974,pi /4radian,pi /3radian,pi /5radian,pi /10radian
The value of sin ^2/5^o+sin ^2/10^o+sin ^2/15^o+...+ sin ^2/85^o+sin ^2/90^o is  equal to Karnataka CET 1999,7,8,9,91/2
If 3pi /4<alpha <pi |then sqrttextcose/textc^2alpha +2cot alpha  is equal to  Pb. CET 2000; AMU 2001; MP PET 2004,1+cot alpha,1-cot alpha,-1-cot alpha,-1+cot alpha
If a|cos ^3alpha +3a|cos alpha |sin ^2alpha  = m anda|sin ^3alpha +3a|cos ^2alpha sin alpha  = n| then (m+n)^2/3+(m-n)^2/3 is equal to,2a^2,2a^1/3,2a^2/3,2a^3
Ifcos |(theta -alpha ) = a|||sin |(theta -beta ) = b|||then cos ^2(alpha -beta )+2ab|sin |(alpha -beta ) is equal to,4a^2/b^2,a^2-b^2,a^2+b^2,-a^2/b^2
If sin A = nsin B| then n-1/n+1tan |A+B/2 =,sin A-B/2,tan A-B/2,cot A-B/2,None of these
If x+1/x = 2|cos theta | then x^3+1/x^3 =  MP PET 2004,cos ||3theta,2|cos |3theta,1/2cos |3theta,1/3cos |3theta
If sin x+textcosec|x = 2| then 4sin A||sin B||sin C is equal to UPSEAT 2002,2,2^n,2^n-1,2^n-2
If tan theta  = sin alpha -cos alpha /sin alpha +cos alpha |then sin alpha +cos alpha  and sin alpha -cos alpha  must be equal to WB JEE 1971,sqrt2cos theta |||sqrt2sin theta,sqrt2sin theta |||sqrt2cos theta,sqrt2sin theta |||sqrt2sin theta,sqrt2|cos theta |||sqrt2|cos theta
If cos ^6alpha +sin ^6alpha +K|sin ^22alpha  = 1| then K  =,4/3,3/4,1/2,2
sin 20^o|sin 40^o|sin 60^o|sin 80^o =  MNR 1976| 81,-3/16,5/16,3/16,-5/16
The value ofsin pi /14sin 3pi /14sin 5pi /14sin 7pi /14sin 9pi /14sin 11pi /14sin 13pi /14 is equal to IIT 1991; MNR 1992,1/8,1/16,1/32,1/64
tan alpha +2tan 2alpha +4tan 4alpha +8cot |8alpha  =  IIT 1988; MP PET 1991,tan alpha,tan 2alpha,cot |alpha,cot |2alpha
sqrt3|textcosec|20^o-sec |20^o =  IIT 1988,2,2|sin 20^o/sin 40^o,4,4|sin 20^o/sin 40^o
1+cos |56^o+cos |58^o-cos 66^o =  IIT 1964,2|cos 28^o|cos |29^o|cos |33^o,4|cos 28^o|cos |29^o|cos |33^o,4|cos 28^o|cos |29^o|sin 33^o,2|cos 28^o|cos |29^o|sin |33^o
If x = sin 130^o|cos 80^o|||y = sin |80^o|cos |130^o|||z = 1+xy|which one of the following is true AMU 1999,x>0|||y>0|||z>0,x>0|||y<0|||0<z<1,x>0|||y<0|||z>1,x<0|||y<0||0<z<1
If alpha ||beta ||gamma in |left( 0||pi /2 right)| then sin |(alpha +beta +gamma )/sin alpha +sin beta +sin gamma  is,< 1,>1,1,None of these
If a|cos 2theta +b|sin 2theta  = chas a and b as its solution| then the value of tan alpha +tan beta  is Kurukshetra CEE 1998,c+a/2b,2b/c+a,c-a/2b,b/c+a
If tan x = 2b/a-c(ane c)|y = a|cos ^2x+2b|sin xcos x+c|sin ^2xand z = asin ^2x-2bsin xcos x+ccos ^2x| then,y = z,y+z = a+c,y-z = a+c,y-z = (a-c)^2+4b^2
If textcosectheta  = p+q/p-q| then cot |left( pi /4+theta /2 right) =  EAMCET 2001,sqrtp/q,sqrtq/p,sqrtpq,pq
If asin ^2x+bcos ^2x = c|||b|sin ^2y+a|cos ^2y = d and  a|tan x = b|tan y|then a^2/b^2 is equal to,(b-c)||(d-b)/(a-d)||(c-a),(a-d)||(c-a)/(b-c)||(d-b),(d-a)||(c-a)/(b-c)||(d-b),(b-c)||(b-d)/(a-c)||(a-d)
left( cos A+cos B/sin A-sin B right)^n+left( sin A+sin B/cos A-cos B right)^n(n even or odd)  =,2tan ^nA-B/2,2cot ^nA-B/2,0,None of these
If sin alpha  = 1/sqrt5and sin beta  = 3/5|then beta -alpha lies in the interval Roorkee Qualifying 1998,0||pi /4,pi /2||3pi /4,3pi /4||pi,pi ||5pi /4
If 2sec 2alpha  = tan beta +cot beta |then one of the values of alpha +beta is Karnataka CET 2000,pi /4,pi /2,pi,2pi
If x/cos theta  = y/cos left( theta -2pi /3 right) = z/cos left( theta +2pi /3 right)|then x+y+z =,1,0,-1,None of these
If sin 6theta  = 32cos ^5theta sin theta -32cos ^3theta sin theta +3x| then x =  EAMCET 2003,cos theta,cos 2theta,sin theta,sin 2theta
sin ^4pi /4+sin ^43pi /8+sin ^45pi /8+sin ^47pi /8 =  Roorkee 1980,1/2,1/4,3/2,3/4
left( 1+cos pi /8 right)|left( 1+cos 3pi /8 right)|left( 1+cos 5pi /8 right)|left( 1+cos 7pi /8 right) =   IIT 1984; WB JEE 1992,1/2,1/4,1/8,1/16
If A lies in the third quadrant and 3|tan A-4 = 0| then 5|sin 2A+3|sin A+4|cos A =  EAMCET 1994,0,-24/5,24/5,48/5
sqrt2+sqrt3+sqrt4+sqrt6 is equal to IIT 1966| 1975,cot 71^o/2,sin 71^o/2,sin |15^o,cos ||15^o
If tan |(A+B) = p|||tan |(A-B) = q| then the value of tan |2A in terms of p and q is MP PET 1995| 2002,p+q/p-q,p-q/1+pq,p+q/1-pq,1+pq/1-p
2|sin ^2beta +4||cos |(alpha +beta )||sin |alpha |sin |beta +cos |2|(alpha +beta ) =  MNR 1993; IIT 1977,sin ||2alpha,cos ||2beta,cos ||2alpha,sin ||2beta
The value of sin theta +cos theta  will be greatest when MNR 1977| 1983; RPET 1995,theta = 30^o,theta = 45^o,theta = 60^o,theta = 90^o
If f(x) = cos ^2x+sec ^2x| then  MNR 1986,f(x)<1,f(x) = 1,1<f(x)<2,f(x)ge 2
The value of tan x/tan |3xwhenever defined never lie between Kurukshetra CEE 1998; IIT 1992,1/3 and 3,1/4 and 4,1/5 and 5,5 and 6
cos ||2theta +2||cos theta  is always,Greater than -3/2,Less than or equal to 3/2,Greater than or equal to -3/2 and less than or equal to 3,None of these
Let A| B and C are the angles of a plain triangle and tan A/2 = 1/3|||tan B/2 = 2/3. Then tan C/2 is equal to   Orissa JEE 2003,7/9,2/9,1/3,2/3
If A+B+C = pi  and cos A = cos B|cos C| then tan B||tan C is equal to AMU 2001,1/2,2,1,-1/2
If A+C = B| then tan A|tan B|tan C =  EAMCET 1986,tan A|tan B+tan |C,tan |B-tan |C-tan |A,tan A+tan C-tan B,-|(tan Atan B+tan C)
If left| cos |theta |left sin theta +sqrtsin ^2theta +sin ^2alpha  right| right||le k| then the value of k is,sqrt1+cos ^2alpha,sqrt1+sin ^2alpha,sqrt2+sin ^2alpha,sqrt2+cos ^2alpha
The equation of 2x^2+3y^2-8x-18y+35 = k represents IIT 1994,No locus if k>0,An ellipse| if k<0,A point if|k = 0,A hyperbola| if k>0
The number of points of intersection of the two curvesy = 2sin x and y = 5x^2+2x+3 is    IIT 1994,0,1,2,infty
If the chord joining the points (at_1^2| 2at_1) and (at_2^2| 2at_2) of the parabola y^2 = 4ax passes through the focus of the parabola| then MP PET 1993,t_1/t_2 = -1,t_1/t_2 = 1,t_1+t_2 = -1,t_1-t_2 = 1
The locus of the midpoint of the line segment joining the focus to a moving point on the parabola y^2 = 4ax is another parabola with the directrix                                                                                   IIT Screening 2002,x = -a,x = -a/2,x = 0,x = a/2
On the parabola y = x^2| the point least distance from the straight line y = 2x-4 is            AMU 2001,(1| 1),(1| 0),(1| ?1),(0| 0)
The length of the latus-rectum of the parabola whose focus is left( u^2/2gsin 2alpha | -u^2/2gcos 2alpha  right) and directrix is y = u^2/2g| is,u^2/g/cos ^2alpha,u^2/gcos 2alpha,2u^2/g/cos ^22alpha,2u^2/g/cos ^2alpha
The line x-1 = 0 is the directrix of the parabola y^2-kx+8 = 0. Then one of the values of k is  IIT Screening 2000,1/8,8,4,1/4
The centre of the circle passing through the point (0| 1) and touching the curve y = x^2at (2| 4) is       IIT 1983,left( -16/5| 27/10 right),left( -16/7| 5/10 right),left( -16/5| 53/10 right),None of these
Consider a circle with its centre lying on the focus of the parabola y^2 = 2px such that it touches the directrix of the parabola. Then| a point of intersection of the circle and the parabola is                           IIT 1995,left( p/2| p right),left( p/2| -p right),left( -p/2| p right),left( -p/2| -p right)
Which one of the following curves cuts the parabola y^2 = 4ax at right angles      IIT 1994,x^2+y^2 = a^2,y = e^-x/2a,y = ax,x^2 = 4ay
The angle of intersection of the curves y^2 = 2x/pi  and y = sin x| is                Roorkee 1998,cot ^-1(-1/pi ),cot ^-1pi,cot ^-1(-pi ),cot ^-1(1/pi )
The equation of the common tangent to the curves y^2 = 8x and xy = -1 is        IIT Screening 2002,3y = 9x+2,y = 2x+1,2y = x+8,y = x+2
The equation of the parabola whose focus is the point (0| 0) and the tangent at the vertex is x-y+1 = 0is  Orissa JEE 2002,x^2+y^2-2xy-4x+4y-4 = 0,x^2+y^2-2xy+4x-4y-4 = 0,x^2+y^2+2xy-4x+4y-4 = 0,x^2+y^2+2xy-4x-4y+4 = 0
If ane 0 and the line 2bx+3cy+4d = 0 passes through the points of intersection of the parabolas y^2 = 4ax and x^2 = 4ay| then AIEEE 2004,d^2+(3b-2c)^2 = 0,d^2+(3b+2c)^2 = 0,d^2+(2b-3c)^2 = 0,d^2+(2b+3c)^2 = 0
The locus of mid point of that chord of parabola which subtends right angle on the vertex will be   UPSEAT 1999,y^2-2ax+8a^2 = 0,y^2 = a(x-4a),y^2 = 4a(x-4a),y^2+3ax+4a^2 = 0
The equation of a circle passing through the vertex and the extremities of the latus rectum of the parabola y^2 = 8x is MP PET 1998,x^2+y^2+10x = 0,x^2+y^2+10y = 0,x^2+y^2-10x = 0,x^2+y^2-5x = 0
The centre of an ellipse is C and PN is any ordinate and A| A? are the end points of major axis| then the value of PN^2/AN . A'N is,b^2/a^2,a^2/b^2,a^2+b^2,1
Let P be a variable point on the ellipse x^2/a^2+y^2/b^2 = 1 with foci F_1 and F_2. If A is the area of the triangle PF_1/F_2| then maximum value of A is IIT 1994; Kerala (Engg.) 2005,ab,abe,e/ab,ab/e
A man running round a race-course notes that the sum of the distance of two flag-posts from him is always 10 metres and the distance between the flag-posts is 8 metres. The area of the path he encloses in square metres is  MNR 1991; UPSEAT 2000,15pi,12pi,18pi,8pi
If the angle between the lines joining the end points of minor axis of an ellipse with its foci is x^2-y^2 = 25| then the eccentricity of the ellipse is IIT Screening 1997; Pb. CET 2001; DCE 2002,1/2,1/sqrt2,sqrt3/2,1/2sqrt2
The eccentricity of an ellipse| with its centre at the origin| is 1/2. If one of the directrices is x = 4| then the equation of the ellipse is AIEEE 2004,4x^2+3y^2 = 1,3x^2+4y^2 = 12,4x^2+3y^2 = 12,3x^2+4y^2 = 1
The line xcos alpha +ysin alpha  = p will be a tangent to the conic x^2/a^2+y^2/b^2 = 1| if        Roorkee 1978,p^2 = a^2/sin ^2alpha +b^2/cos ^2alpha,p^2 = a^2+b^2,p^2 = b^2/sin ^2alpha +a^2/cos ^2alpha,None of these
The angle of intersection of ellipse x^2/a^2+y^2/b^2 = 1 and circle x^2+y^2 = ab| is,tan ^-1left( a-b/ab right),tan ^-1left( a+b/ab right),tan ^-1left( a+b/sqrtab right),tan ^-1left( a-b/sqrtab right)
On the ellipse 4x^2+9y^2 = 1| the points at which the tangents are parallel to the line 8x = 9y are          IIT 1999,left( 2/5| 1/5 right),left( -2/5| 1/5 right),left( -2/5| -1/5 right),left( 2/5| -1/5 right)
The area of the quadrilateral formed by the tangents at the end points of latus rectum to the ellipse x^2/9+y^2/5 = 1| is IIT Screening 2003,27/4 sq. unit,9 sq. unit,27/2 sq. unit,27 sq. unit
